Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
N.A.,20,928,928,Melanesia,2,2294,2135,2465,2294,49.2,40.6,5.2
N.A.,20,931,931,South America,2,165427,163505,167372,165427,57.2,74.4,6.2
N.A.,20,935,935,Asia,2,985817,981692,989960,985817,34.3,43.4,3.7
N.A.,20,940,940,European Union (27),2,375079,370914,379290,375079,83.4,165.0,8.9
N.A.,20,954,954,Micronesia,2,133,92,192,133,43.9,48.0,4.6
N.A.,20,957,957,Polynesia,2,294,232,373,294,76.9,86.1,8.0
N.A.,20,963,963,Sub-Saharan Africa,2,133576,132039,135130,133576,36.6,23.2,3.9
N.A.,20,964,964,Micronesia/Polynesia,2,427,351,519,427,62.3,69.0,6.5
N.A.,20,971,971,Sub-Saharan Africa Hub,2,133520,130482,136629,133520,36.7,23.2,3.9
N.A.,20,972,972,Caribbean hub,2,3040,2753,3357,3040,61.8,80.7,6.3
N.A.,20,973,973,Latin America Hub,2,214967,212196,217774,214967,52.2,65.6,5.6
N.A.,20,974,974,"South, East and South-Eastern Asia Hub",2,910194,905291,915124,910194,33.8,43.4,3.6
N.A.,20,975,975,"Northern Africa, Central and Western Asia Hub",2,140021,137053,143053,140021,46.5,46.4,4.9
N.A.,20,976,976,Pacific Islands Hub,2,2246,2088,2415,2246,48.3,39.5,5.1
N.A.,20,981,981,Very HDI country,2,1092663,1084577,1100809,1092663,75.6,131.6,8.2
N.A.,20,982,982,High HDI country,2,737959,733993,741946,737959,38.8,53.9,4.1
N.A.,20,983,983,Medium HDI country,2,331089,328834,333360,331089,29.7,29.8,3.2
N.A.,20,984,984,Low HDI country,2,134122,131486,136810,134122,34.1,22.3,3.6
N.A.,20,985,985,High HDI country (but China),2,380798,376029,385628,380798,46.8,56.1,5.0
N.A.,20,986,986,Medium HDI country (but India),2,139069,135687,142535,139069,35.3,32.1,3.8
N.A.,20,987,987,High income,2,903779,897804,909794,903779,83.9,151.9,9.0
N.A.,20,988,988,Upper middle income,2,758310,754410,762230,758310,40.8,59.8,4.4
N.A.,20,989,989,Lower middle income,2,552623,548294,556986,552623,33.2,32.9,3.6
N.A.,20,990,990,Low income,2,71828,69532,74200,71828,30.6,20.4,3.2
N.A.,20,991,991,WHO Africa region (AFRO),2,146130,142859,149476,146130,38.0,24.8,4.1
N.A.,20,992,992,WHO Americas region (PAHO),2,525882,522143,529648,525882,70.2,100.0,7.7
N.A.,20,993,993,WHO East Mediterranean region (EMRO),2,130062,127701,132466,130062,40.3,35.4,4.2
N.A.,20,994,994,WHO Europe region (EURO),2,604941,598220,611737,604941,70.7,125.6,7.6
N.A.,20,995,995,WHO South-East Asia region (SEARO),2,313537,311542,315544,313537,28.4,31.2,3.1
N.A.,20,996,996,WHO Western Pacific region (WPRO),2,575281,572721,577852,575281,39.6,61.1,4.2
,,,,Total,,18191189,,,18191189,45.7,56.1,4.9
